name,description,duration,recruitment_period,category_tags,group_type_lookup,contact,contact_email,paid_unpaid
Mustang EMS,"Mustang EMS is dedicated to providing first aid, CPR, and emergency preparedness education to everyone on campus through monthly skills sessions, CPR/AED and Stop the Bleed certification classes, and monthly blood drives. Mustang EMS also encourages members to attend an accredited Emergency Medical Technician (EMT-B) certification class, which equips students to respond to medical emergencies ranging from bleeding control to oxygen administration and CPR.",,,,Student Organization,,mustangems@gmail.com,
Mustang Market,,,,"Professional,Service,Social",Student Organization,,mustangmarket.24@gmail.com,
Mustang Martial Arts ,,,,,Student Organization,,,
Mustang Mavericks,,,,,Student Organization,,mustangmavericks@smu.edu,
Mustang Powerlifting,,,,,Student Organization,,,
Mustang Rocketry,"The purpose of this club shall be:  1. To develop, design, build, and test rockets, drones, model airplanes, and aerospace technologies for research and competition;  2. To allow aspiring engineers and scientists to create connections with industry experts;  3. To foster a supportive, mentor-mentee environment for undergraduate students;  4. To give aspiring engineers and scientists hands-on experience in both design and fabrication processes as well as experiments and the experimental  ",,,Lyle School of Engineering,Student Organization,,,
Mustang Running Club,"At the heart of the Mustang Running Club, our mission is simple yet profound: to cultivate a thriving community of runners among students and faculty alike. Whether you're lacing up your running shoes for the first time or you're an experienced marathoner, our club is here to support, motivate, and inspire you on your fitness journey.",,,,Student Organization,,mustangrunningclubsmu@gmail.com,
Mustang Transfers Organization,,,,,Student Organization,,,
Mustangs for Christ (Preston Road Church of Christ),,,,Religious Life Organization,Student Organization,,,
Mustangs For Hope,,,,,Student Organization,,,
Mustangs for Israel,Promoting Israel advocacy while committed to combating antisemitism. A fair and balanced approach. ,,,,Student Organization,,,
Mustangs for Life,,,,,Student Organization,,,
National Association of Black Accountants at SMU,,,,,Student Organization,,,
National Pan-Hellenic Council,,,,,Student Organization,,,
National Society of Black Engineers,,,,Lyle School of Engineering,Student Organization,,,
Net Impact,"SMU Cox Net Impact is a community of professional leaders creating positive social and environmental change in the workplace and the world (netimpact.org). We promote a triple bottom line as part of business: people, profit, and planet. We collaborate with businesses, government industries, non-profits, and individuals to advance strategic solutions to global and community-based problems.â€¯Cox Net Impact events include the annual, national Net Impact Conference, and speaker events with area corporate leaders in ESG and CSR. Some upcoming events will also include high-level volunteer opportunities, happy hours, and collaborative networking with various Institutes and non-profits.â€¯ ",,,Cox School of Business,Graduate Student Organization,,coxnetimpact@smu.edu,
Network of Enlightened Women,,,,"Professional,Social",Student Organization,,,
NICU Care Collective,,,,,Student Organization,,,
Non-Traditional Law Students Association,"The Non-Traditional Law Students Association is dedicated to meeting the needs and concerns of the non-traditional SMU Dedman Law student, including but not limited to married students, students with children, caregivers, veterans, those who hold full time jobs and/or are returning to school from the position of an established career, and part-time and evening students. ",,,Dedman School of Law,Graduate Student Organization,,,
"Omega Delta Phi Fraternity, Inc.",,,,Multicultural Greek Council,Student Organization,,,
Operations & Analytics Club,,,,Cox School of Business,Graduate Student Organization,,,
Orthodox Christian Fellowship,"Orthodox Christian Fellowship (OCF) is a pan-Orthodox organization dedicated to exploring the Orthodox Christian faith, fostering spiritual growth, and exposing the campus to the faith, cultures, and customs that are unique to our 2000-year-old tradition.Â     All those interested in learning about Orthodoxy, including non-Orthodox Christians, are welcome!â€¨â€¨",,,Religious Life Organization,Student Organization,,jlucas@smu.edu,
Palestine Solidarity Committee,,,,,Student Organization,,,
Panhellenic Council,"The SMU Panhellenic Council exists as the governing body over the seven National Panhellenic Conference (NPC) sororities located on our campus. The Council is comprised of seven executive officers and seven chapter delegates and junior delegates. It is the responsibility of the Council to unite all seven chapters in the spirit of Greek unity, to enforce the NPC guidelines, and to oversee and regulate the recruitment process. The Council works year-round to promote positive ideals of sorority life at SMU, and contribute to the SMU community through involvement, leadership, academic, philanthropic projects, school spirit, and overall support. Sororities were among the first organizations at SMU founded during 1915, with Alpha Omicron Pi, Phi Mu, and Alpha Delta Pi being the first three chapters to colonize. The growth of the SMU Panhellenic Council was prolific during the twenties and thirties, and over time SMU has hosted 15 different NPC chapters. ",,,,Student Organization,,panhellenic@smu.edu,
Performers Collective ,,,,,Student Organization,,,
Perkins Student Association ,,,,Perkins School of Theology,Graduate Student Organization,,,
Phi Alpha Delta Legal Fraternity,,,,Dedman School of Law,Graduate Student Organization,,,
Phi Alpha Delta Pre-Law,"We strive for a shared devotion to compassion, professionalism, and service to continuously better our profession and our communities.",,,"Professional,Social",Student Organization,,itran@smu.edu,
Phi Chi Theta,,,,Professional,Student Organization,,,
Phi Delta Phi Legal Honor Society,,,,Dedman School of Law,Graduate Student Organization,,,
Phi Delta Theta,,,,Interfraternity Council,Student Organization,,,
Phi Gamma Delta,,,,Interfraternity Council,Student Organization,,,
Pi Beta Phi,,,,Panhellenic Council,Student Organization,,,
Poetry Club,"We aim to foster a fun, casual, enriching environment for the creation and intellectual discussion of poetry. Whether you are pursuing creative writing or literature as a career or you simply enjoy poetry in your free time, everybody is welcome to join! We have a range of activities, from analyzing poetic techniques in published poems to writing your own poetry. By becoming a member, you can meet likeminded students at SMU and grow as a poet or reader!    To join Poetry Club and stay up to date with meeting times, join our GroupMe below:  https://groupme.com/join_group/93364702/bdpe0xe1    ",,,,Student Organization,,,
Polo Club,"SMU Polo Club is a student organization ran by officers elected by our members.     Founded in 2013 by Enrique Ituarte, the clubs focus is developing experienced riders in more methodical players and also teaching polo basics to newcomers. We welcome anyone to join our club who has riding experience. No equipment required! We will provide everything from the horse to the helmet!     SMU Polo competes on a local and national level, with the hopes of qualifying for the National Championships each school year! ",,,,Student Organization,,smupoloteam@gmail.com,
Pre-Dental Society,"The Pre-Dental Society is dedicated to supporting students interested in pursuing a career in dentistry. Our mission is to provide resources, networking opportunities, and hands-on experiences to help members prepare for dental school and the field of dentistry. Through workshops, guest speakers, volunteer activities, and mentorship programs, we aim to foster a community of aspiring dental professionals and promote academic and professional growth.",,,,Student Organization,,,
Pre-Physician Assistant Club,,,,,Student Organization,,,
Pre-Veterinary Society,,,,,Student Organization,,,
Prevent and Protect Project,"Originally founded through SMU Student Senateâ€™s Wellness Committee, the Prevent and Protect Project is committed to raising awareness about the dangers of fentanyl, emphasizing the importance of Narcan education and promoting its responsible usage through education, awareness, and community engagement.    ",,,,Student Organization,,,
Pride Visibility Day,,,,,Student Organization,,,
Pride@Cox,"Pride@Cox is a student organization at SMU's Cox School of Business dedicated to supporting lesbian, gay, bisexual, transgender, queer, and questioning (LGBTQ+) MBA students and their partners. Our mission is to cultivate community, promote professional growth, and champion LGBTQ+ representation within our school and the broader business world.",,,Cox School of Business,Graduate Student Organization,,,
Private Credit Club,"The SMU Private Credit Club is dedicated to fostering a deep understanding of the private credit industry among students. Our mission is to provide members with insights into direct lending, distressed debt, mezzanine financing, and other facets of the private credit market. We aim to bridge the gap between academic knowledge and real-world applications by offering networking opportunities, educational workshops, and guest speaker events featuring industry professionals.",,,,Student Organization,,,
Private Equity & Venture Capital Club,Our goal at PEVC is to introduce and educate our members about Private Equity and Venture Capital through speaker events and a comprehensive education series.,,,,Student Organization,,,
Professional MBA Student Advisory Board,,,,Cox School of Business,Graduate Student Organization,,,
Program Council,"The purpose of Program Council is to unify and celebrate the community found in the SMU student body through fun, innovative and educational programming that enhances the awareness of self, of others and of the entire university community. Program Council is comprised of several committees each with its own committee chair. So, whatever your passion, Program Council has a place for you!",,,"Programming,Social,Special Interest",Student Organization,,programcouncil@smu.edu,
Psi Chi,,,,"Dedman College of Humanities and Sciences,Professional",Student Organization,,,
Real Estate Law Association,,,,Dedman School of Law,Graduate Student Organization,,,
Red Raider Law Society,,,,Dedman School of Law,Graduate Student Organization,,,
Reformed University Fellowship (RUF),,,,,Student Organization,,,
SAGE at SMU,,,,,Student Organization,,,
Scholars of Finance,"SOF seeks to solve the worldâ€™s largest problems by investing in undergraduate students through leadership development, mentorship, and the active support of hundreds of purpose-driven finance executives and investors",,,,Student Organization,,,
Science & Technology Law Review,,,,Dedman School of Law,Graduate Student Organization,,,
Second Amendment Foundation,,,,Dedman School of Law,Graduate Student Organization,,,
Senate Organizations Committee,"The Organizations Committee exists for the purpose of oversight, regulation, and support of student organizations.    -----------------------------------------------------------------------------------------------                                                         Looking to start an org?                                                  Use this: smu.edu/startanorg                                                         Already have a charter?                       Use this for event planning and financing: smu.edu/theguide    Link to Sample Constitution/Bylaws: https://smu.box.com/s/kxijmavgog04qf0s9oouroobhrjerz9m ",,,,Student Organization,,studentsenate@smu.edu,
Sigma Alpha Epsilon,,,,Interfraternity Council,Student Organization,,,
Sigma Chi,,,,Interfraternity Council,Student Organization,,,
"Sigma Lambda Beta Fraternity, Inc.",,,,Multicultural Greek Council,Student Organization,,,
"Sigma Lambda Gamma National Sorority, Inc. ",,,,Multicultural Greek Council,Student Organization,,,
Sigma Nu Fraternity,,,,Interfraternity Council,Student Organization,,,
Simmons Graduate Council,,,,Simmons School of Education and Human Development,Graduate Student Organization,,,
Sisters Supporting Sisters,,,,,Student Organization,,,
SMU Daily Campus,"The mission of The Daily Campus is to serve as the independent voice of the SMU community as responsive student media in a learning environment dedicated to excellence, student freedom of expression as guaranteed under the under First Amendment and sound creative and business practices appropriate to a university community.",,,Meadows School of the Arts,Student Organization,,,
SMU Dedman OUTLaw,,,,Dedman School of Law,Graduate Student Organization,,,
SMU First Amendment Clinic,,,,Dedman School of Law,Graduate Student Organization,,,
SMU Law Review Association,,,,Dedman School of Law,Graduate Student Organization,,,
SMU Law Walking and Running Club,,,,Dedman School of Law,Graduate Student Organization,,,
SMU Rang Elite Non-Competing Dance Team,,,,Special Interest,Student Organization,,,
SMU Service House,,,,Division of Student Affairs,Residence Life,,,
Society for Russian Studies at Southern Methodist University,,,,,Student Organization,,,
Society of Automotive Engineers,,,,,Student Organization,,,
Society of Hispanic Professional Engineers,,,,,Student Organization,,shpe@mail.smu.edu,
Society of Women Engineers,,,,,Student Organization,,,
South Asian Student Association,"SMU SASA is an organization established to unite the undergraduate and graduate students who relate  to and/or want to celebrate South Asian culture at Southern Methodist University, while raising awareness of its culture within  the community. It is also our goal to involve our members in the Dallas area through philanthropic and  cultural activities. It is our mission to ensure that the voice and concerns of our members be heard  through this organization.",,,,Student Organization,,sasa@smu.edu,
Southern Gentlemen,The mission of Southern Gentlemen is to bring musical entertainment to SMU's campus and the Dallas area while providing student members with social and artistic opportunities for enjoyment and growth. ,,,,Student Organization,,,
Sports & Entertainment Law Association,,,,Dedman School of Law,Graduate Student Organization,,,
State Bar of Texas Law Student Division,,,,Dedman School of Law,Graduate Student Organization,,,
Statistics & Data Science Club,,,,Professional,Student Organization,,smusadsclub@gmail.com,
Student Animal Defense Fund,,,,Dedman School of Law,Graduate Student Organization,,,
Student Association of Music Therapy,,,,,Student Organization,,,
Student Bar Association,,,,Dedman School of Law,Graduate Student Organization,,,
Student Filmmakers Association,,,,,Student Organization,,,
Student Foundation,"Student Foundation seeks to instill pride in the students of Southern Methodist University and create a sense of community through traditions and programs that serve the University. SF plans and executes four events throughout the year that include Family Weekend, Homecoming, Celebration of Lights, and PerunaPalooza. Our goal is to unify the student body by creating welcoming experiences and opportunities for all Mustangs. ",,,Programming,Student Organization,,sf@smu.edu,
Student Managed University Radio Frequency,,,,,Student Organization,,,
Student Mobilization,,,,,Student Organization,,,
Student Organized Art Collective ,,,,,Student Organization,,,
Student Senate,"The purpose of SMUâ€™s Student Senate is to establish a forum to represent all students, act as a communicative body among the students, administration, and faculty, protect the rights of students by ensuring a student voice in every decision-making process of the university, establish policies which govern the actions of students, and promote opportunities for intellectual growth.",,,Governing Board,Student Organization,,studentsenate@smu.edu,
Students Expanding American Literacy,,,,,Student Organization,,,
Students for Health Humanities,,,,,Student Organization,,,
Students for New Learning,"Our mission is to provide information, resources and networking opportunities to help neurodivergent SMU students.  Neurodivergence is here defined as disorders and/or disabilities that alter a personâ€™s ability to thrive to his/her fullest potential in a learning environment. These include, but are not limited to, students with attention deficit/hyperactivity disorder (ADHD), learning disabilities (LD) of listening, speaking, reading, writing, or mathematical type, and Autism (ASD).  We also provide these opportunities to those friends and family of said SMU students.  Our mission is to provide hope and empowerment to our members and to raise awareness of neurodiversity in the SMU campus and surrounding community.",,,Academic,Student Organization,,snl@smu.edu,
TAMID,,,,,Student Organization,,,
Tau Beta Pi,,,,Honor Society,Student Organization,,,
Tax Law Society,,,,Dedman School of Law,Graduate Student Organization,,,
Texas Society of Professional Engineers,,,,Lyle School of Engineering,Student Organization,,,
Texas Trial Lawyers Association,,,,Dedman School of Law,Graduate Student Organization,,,
The Belle Tones,"The SMU Belle Tones is the premier all-female a cappella group at SMU. The Belles come from a variety of majors including Political Science, Chemistry, Finance, Vocal Performance, and Computer Science, but are tied together by friendship and their love for music. The Belles have captured the hearts of many throughout their decade of existence and are thrilled to announce the release of their next album, coming Fall 2023!",,,,Student Organization,,,
The Big Event,"Our mission at The Big Event is to empower and unify the SMU student body and greater pool of volunteers with impactful service experiences that foster personal growth and community betterment. Through fun and engaging opportunities, we aim to cultivate a culture of compassion and awareness, leaving a lasting positive impact on the Dallas community. As a cornerstone of SMU's broader mission, we strive to inspire a generation of Mustangs dedicated to making a difference, embodying the spirit of world-changers and ensuring our city thrives long after studentsâ€™ departure. ",,,,Student Organization,,jgdibona@smu.edu,
The Blockchain Club,"The Blockchain Club at SMU is dedicated to educating and inspiring students to learn more about blockchain technology and its applications. Our mission is to create a community where members can connect and collaborate with each other, and to prepare them for the future of work by providing them with the skills and knowledge needed to succeed in the blockchain industry.",,,,Student Organization,,,
The Boulevard Bulletin,,,,,Student Organization,,,
The Classical Studies Club,"Classical Studies Club introduces classical cultures to SMU students. We create a collaborative space to learn more about and interact with classical studies. We study traditional Latin and Greek cultures, as well as other classical era cultures such as Egyptian, Persian, and the Far East. Ultimately, the club is a relaxed way to learn more about history with others. ",,,,Student Organization,,smuclassicalstudies@gmail.com,
The College Democrats,"The College Democrats is here to promote a space for students within and outside of the Democratic Party to discuss and debate issues freely.  Despite the organizationâ€™s political lean, we welcome any and all to our organization to discuss the issues. Our goal for the organization is to create a platform for local involvement, on-campus political engagement, and in-group discussions on policy, breaking news events, and ideas. ",,,Political,Student Organization,,,
The Dialogue Society,The Dialogue Society aims to cultivate a vision by bridging meaningful connections  between past experiences and future aspirations. One of the Dialogue Societyâ€™s goals is to  develop leadership skills that can be used by students throughout their school and career  life.,,,,Student Organization,,,
The Philosophy Club ,,,,,Student Organization,,,
The Public Relations Student Society of America,,,,,Student Organization,,,
The Spanish Club,,,,,Student Organization,,,
The Sports Business Society,,,,,Student Organization,,,
The Third Amendment Society: Students Against Quartering Soldiers ,,,,Dedman School of Law,Graduate Student Organization,,,
Themis Bar Review,,,,Dedman School of Law,Graduate Student Organization,,,
Theta Tau,,,,"Lyle School of Engineering,Professional",Student Organization,,,
Thomistic Institute,,,,Religious Life Organization,Student Organization,,,
Traders,"Traders is the premier trading and financial markets club at Southern Methodist University. We're dedicated to educating and empowering students interested in trading, investing, and financial markets.",,,,Student Organization,,,
Triathlon at SMU,,,,,Student Organization,,,
Turning Point USA,,,,"Political,Professional",Student Organization,,,
UKirk,"UKirk SMU is a worshiping community that looks for the sacred in the ordinary.    We seek to follow God by wrestling with holy scripture, gathering weekly around the table for communion, and striving to embody Jesusâ€™s unconditional love in the world.          UKirk SMU is a place where you are invited to come as you are.  Bring your doubts and questions, your fears and past experiences, your dreams and wonderings.    Bring your whole self. We are fully inclusive of LGBTQIA+ people and we strive to be an anti-racist community. We celebrate and embrace all people, exactly how they are.    All of who you are is welcome here.         UKirk SMU is a place of nourishment, care, and support.    College is hard â€“ this is a community where you can rest, eat (vegetarian and gluten-free options are always available!), de-stress, and connect in meaningful ways with people who care.         UKirk SMU is a place where all belong.",,,Religious Life Organization,Student Organization,,,
Undergraduate Real Estate Club,,,,Cox School of Business,Student Organization,,,
United States Military Veterans of SMU,,,,,Student Organization,,,
Upper Division Housing,,,,Division of Student Affairs,Residence Life,,,
Veterans in Business,"The Veterans in Business Club is an SMU Cox Graduate Club open to all students enrolled in a graduate program at the Cox School of Business. The Veterans in Business Club is also open to all students enrolled at the Dedman School of Law.    Our overall mission here is to provide an area for veteran data sharing, mentorship, and collaboration; be it transitioning, disability, schoolwork, industry, interview prep, networking, etc.    We'll post events through here periodically, but feel free to use this platform as an area to post questions, comments, concerns.    How to join the Veterans in Business Club:  1. Request to join here on SMU360  2. Pay $50 dues using Venmo to @cox-clubs with a note ""Dues for Veterans in Business Club""  **Be sure to add the name of the club in your Venmo payment  3. Screenshot that payment and shoot a note to the club officers at wsglenn@smu.edu, cessary@smu.edu, and bhcampbell@smu.edu    Dues will help fund club happy hours and events throughout the 2024-2025 academic school year.",,,Cox School of Business,Graduate Student Organization,,coxveterans@smu.edu,
Veterans Law Association,,,,Dedman School of Law,Graduate Student Organization,,,
Vietnamese Student Association,,,,,Student Organization,,,
Virginia-Snider Commons,,,,Division of Student Affairs,Residence Life,,,
Ware Commons,,,,Division of Student Affairs,Residence Life,,,
Water Polo Club,,,,"Academic,Affinity/Identity,Cox School of Business,Dedman College of Humanities and Sciences,Dedman School of Law,Division of Student Academic Engagement and Success,Governing Board,Honor Society,Interfraternity Council,Lyle School of Engineering,Meadows School of the Arts,Moody School of Graduate and Advanced Studies,Multicultural,Multicultural Greek Council,National Pan-Hellenic Council,Panhellenic Council,Perkins School of Theology,Political,Professional,Programming,Religious Life Organization,Service,Simmons School of Education and Human Development,Social,Special Interest",Student Organization,,,
Water Ski Team at SMU,"The purpose of the Mustang Skiers shall be to help provide the opportunity for Southern Methodist University Students to compete in NCWSA-sanctioned collegiate water skiing competitions, as well as the resources needed to learn how to waterski while providing them with access to a group in which to have fun and build lifelong, shared-interest relationships.",,,,Student Organization,,mustangskiers@gmail.com,
Watermark College,We help 18-22 year-olds follow Jesus and experience the abundant life he has to offer.,,,,Student Organization,,college@watermark.org,
Wellness Committee,,,,Dedman School of Law,Graduate Student Organization,,,
Wesley House ,Create Deeply Devoted Followers of Jesus Christ Amongst College Students,,,Religious Life Organization,Student Organization,,donaldsonc@hpumc.org,
Women in Law,,,,Dedman School of Law,Graduate Student Organization,,wil@mail.smu.edu,
Women in Science & Engineering,,,,,Student Organization,,,
Women's Club Basketball,,,,Special Interest,Student Organization,,,
Women's Club Soccer,,,,,Student Organization,,,
Women's Club Volleyball,,,,,Student Organization,,,
Women's Health Initiative,"The Women's Health Initiative is dedicated to raising awareness and advocating for the health and well-being of women in our community and beyond. Our mission is to educate, support, and empower women by providing resources, hosting informative events, and fundraising for essential health services and research. We strive to create a supportive environment where women can access the knowledge and care they need to lead healthy, fulfilling lives. Through collaboration, advocacy, and community engagement, we aim to break down barriers to women's health and ensure that every woman has the opportunity to thrive.",,,,Student Organization,,,
Women's Lacrosse,,,,,Student Organization,,,
Young Americans for Freedom at SMU,"From Young America's Foundation Website:    ""Young Americaâ€™s Foundation is committed to ensuring that increasing numbers of young Americans understand and are inspired by the ideas of individual freedom, a strong national defense, free enterprise, and â€¨traditional values.    ""Young Americans for Freedom is the chapter affiliate of YAF. Whether youâ€™re already a part of an existing Young Americans for Freedom chapter or just discovering the Conservative Movement, we invite you to become an official member of Young Americans for Freedom.""    ",,,"Academic,Affinity/Identity,Cox School of Business,Dedman College of Humanities and Sciences,Dedman School of Law,Division of Student Academic Engagement and Success,Governing Board,Honor Society,Lyle School of Engineering,Meadows School of the Arts,Moody School of Graduate and Advanced Studies,Multicultural,Perkins School of Theology,Political,Professional,Religious Life Organization,Service,Simmons School of Education and Human Development,Social,Special Interest",Student Organization,,,
Young Conservatives of Texas,,,,Political,Student Organization,,smu@yct.org,
Young Life,,,,,Student Organization,,,
Cox Athletic Club,,,,Cox School of Business,Graduate Student Organization,,,
Cox Foodie Club,,,,Cox School of Business,Graduate Student Organization,,,
Cox MSA Student Leadership Group,,,,Cox School of Business,Graduate Student Organization,,,
Cox MSBA Student Leadership Group (SLG),,,,Cox School of Business,Graduate Student Organization,,,
Cox MSF Student Leadership Group,,,,Cox School of Business,Graduate Student Organization,,,
Cox MSM Student Leadership Group (SLG),,,,Cox School of Business,Graduate Student Organization,,,
Cox Rugby Club,,,,Cox School of Business,Graduate Student Organization,,,
Graduate Cox Sports & Entertainment Business Association,,,,Cox School of Business,Graduate Student Organization,,,
Jewish Business Club,,,,Cox School of Business,Graduate Student Organization,,,
Mustang Business Journal,,,,,Student Organization,,,
The Period Project,,,,,Student Organization,,,
Wellbeing Student Education Team (WEST) Member,"Being part of the Wellbeing Education Student Team (WEST) is a paid student leadership opportunity.ÊÊ WEST is part of the Office of Wellbeing, created in 2022, and will engage with the SMU community through peer to peer education.Ê Our approach to campus wellbeing is proactive, interactive and creative. The role:
Liaison to a Residential Commons and provide wellbeing programming
Work with fellow WESTies to create campus-wide wellbeing programs
Create wellbeing workshops that can be given to student groups as well as in classrooms
Create content for an online wellbeing blog
Develop new and innovative ways to encourage wellbeing among the SMU community
Evaluate WEST programming
Market WEST programs",Full Academic Year,Spring ,Division of Student Affairs,Student Affairs Leadership Opportunities,Jennifer Barker,jdbarker@smu.edu,Paid - 12 hrs per week
Cultivate,"In this semester-long program for juniors and seniors, you will meet weekly to discuss readings based on the SMU Leadership Framework. Through these discussions, you will gain a deeper understanding of yourself and your role as leaders in an individual, organizational, and community context.",Spring Semester - Weekly,Late Fall,Division of Student Affairs,Student Affairs Leadership Opportunities,Rylea Dunlap,leadership@smu.edu,n/a
Emerging Leaders,"The Emerging Leaders program is a leadership development program for first-year, first semester students. In weekly meetings, you will explore on-campus leadership at SMU. Through hands-on activities and discussions, you will learn about how your campus leadership experiences can prepare you to be a world changer. ",Fall Semester - Monday 4-5 pm,August,Division of Student Affairs,Student Affairs Leadership Opportunities,Rylea Dunlap,leadership@smu.edu,n/a
Caswell Leadership Fellows,"In this year-long academic program, you will refine your leadership skills while planning and implementing an impact project. An impact project is something you are passionate about within the campus or Dallas community. You will receive project funding up to $2,500, complete weekly paid office hours to work on your project and participate in leadership workshops.",Full Academic Year,Late Spring,Division of Student Affairs,Student Affairs Leadership Opportunities,Rylea Dunlap,leadership@smu.edu,Project Funding and paid hourly
Caswell Leadership Coaches,"In the Caswell Leadership Coach Program, experienced student leaders engage in peer-to-peer leadership development to help students become more effective within their SMU organizations. Coaches act as consultants to help student org leaders with event planning, the Senate chartering process, org turnover, and more. Students can access Coaches on Connect.SMU.",Full Academic Year,Late Spring,Division of Student Affairs,Student Affairs Leadership Opportunities,Rylea Dunlap,leadership@smu.edu,Paid (hourly)
Orientation Leader,"The orientation leader position is for freshmen through senior students. Being an orientation leader is a high-profile position where you get to network internally at SMU and learn many key skills to be successful for the rest of your college career and beyond. The work is demanding but rewarding and many times you meet some of your best friends at SMU. The expectations for this position is teamwork, oral communication, professionalism, problem solving, and personal growth.",,Early Spring,Division of Student Affairs,Student Affairs Leadership Opportunities,Handshake,orientation@smu.edu,"Free housing, exclusive merch, FLEX"
Stampede Guide,"The stampede guide position is pivotal in not only Stampede, but in the transition for the first-year students to get acclimated with SMUÕs campus, resources, and cultivating a friendly environment. Stampede Guides get to move onto campus early to be there for training and prepare for the students to come later in the week. ",,Mid-Spring,Division of Student Affairs,Student Affairs Leadership Opportunities,my.SMU,orientation@smu.edu,
Community Engagement Ambassador,"The office of Social Change and Community Engagement prioritizes community engagement. The Community Engagement Ambassador Program will act as unifying agents for community engagement at SMU, promote best practices for community engagement across campus, serve as campus educators regarding key service concepts, and intentionally support the efforts of SMUÕs service-related organizations.",Full Academic Year,Fall Semester,Division of Student Affairs,Student Affairs Leadership Opportunities,"Danielle Palomo, Community Engagement Coordinator SCIE",dpalomo@mail.smu.edu,Paid (hourly)
CONNECT Student Coordinator,"The Student Coordinator for the Connect Mentorship Program is responsible for assisting professional SCIE staff in developing the Connect Mentorship Program. The student in the role must understand the purpose of the Connect Mentorship Program, be able to make creative suggestions in the interest of the program, and have a passion for the SCIEÕs mission and understanding of our vision.",Full Academic Year,Spring ,Division of Student Affairs,Student Affairs Leadership Opportunities,"Cheyenne Murray, Associate Director of SCIE",csmurray@smu.edu,Paid (hourly)
CONNECT Mentor,"The Connect Mentorship Program aids incoming students of color to become effective, successful, and engaged members of SMU through peer mentoring. Throughout the program, mentors help incoming students develop personally and academically by introducing them to various resources and learning opportunities offered on campus. In addition, returning students serve as mentors to incoming students. Mentors will be your guide during the Connect Institute before classes start and will continue to meet with you throughout the year as needed.",Full Academic Year,Spring ,Division of Student Affairs,Student Affairs Leadership Opportunities,"Cheyenne Murray, Associate Director of SCIE",csmurray@smu.edu,Unpaid
Resident Assistant,"The Resident Assistant (RA) is a student leader who is employed by the Department of
Residence Life and Student Housing (RLSH) to live in the residential community and to
work as part of a team in order to foster a student experience where every student
belongs, learns, and connects through their residential community. The RA serves as
the link between the residents of the floor and the University. The RA reports directly to
the Residential Community Director (RCD).
The RA is expected to know the individual students on their floor on a personal basis
and to advise individuals and groups of students on academic and personal matters.
Each RA is expected to create and encourage activities and programs that enhance
community and meet residents' personal and academic needs.
The RA serves as a role model for students in every aspect of University life and is
expected to know the various campus services available to students. Each RA is
expected to guide their residents in the understanding of community standards, as well
as uphold and follow University policies and procedures.
RAs uphold the values of SMU and the Division of Student Affairs to promote the
mission of RLSH and embody the values of their Commons or Community.",Full Academic Year,1-Nov,Division of Student Affairs,Student Affairs Leadership Opportunities,Eleanor Luna,eeford@smu.edu,Housing & Meal Scholarships
Honor Council ,"ÒThe SMU Honor Council, through the SMU Honor Code, oversees the academic conduct of all undergraduate and graduate students at SMU with the exception of those graduate students who are enrolled in the Schools of Business, Education, Law, and Theology. The Council is advised by the Director of Student Conduct and Community Standards.Ó",Expired upon graduation,Rolling Basis,Division of Student Affairs,Student Affairs Leadership Opportunities,Camille Alam ,calam@smu.edu,Unpaid
University Conduct Board Member,ÒThe University Conduct Board (UCB) adjudicates alleged policy violations and promotes the Student Code of Conduct.Ó,Expired upon graduation,Rolling Basis,Division of Student Affairs,Student Affairs Leadership Opportunities,Gino Simione,crabtreej@smu.edu,Unpaid
Spiritual Life Mentors,"The Spiritual Life Mentors are a team of multi-faith student leaders who provide listening presence to students in the Commons through programming, 1-1 meetings, and small group settings. The Spiritual Life Mentor program seeks to offer care to students, challenge them to grow personally, and promote spaces of belonging for all students. Spiritual life mentors help connect a peerÕs personal experience to their purpose in life so that they find meaning not only in what they do but in who they are. Learn more about the Spiritual Life Mentors program.",Full Academic Year,Feb 15 - April 1,Division of Student Affairs,Student Affairs Leadership Opportunities,Kaleb Loomis,kloomis@smu.edu,Paid
Student Office Coordinator,"The Student Office Coordinators are part-time student assistants who will assist with the  day to day office operations of the OCRL, event preparation, and digital platforms. These positions work up to 20  hours per week. Primary hours take place during normal business hours (Monday-Friday 8:30 AM-5:00 PM) with occasional evening hours. Specific work hours are negotiable. As part of the OCRL team, Student Office Coordinators will be able to implement the mission of the department through propelling vision into action. These students gain experience in office administration, program planning and coordination, and critical thinking.",Semester (rehiring eligible) ,Rolling Basis,Division of Student Affairs,Student Affairs Leadership Opportunities,Kaleb Loomis,kloomis@smu.edu,Paid
Civil Rights Pilgrimage Student Leader," The Civil Rights Pilgrimage Student Leader works with OCRL and SCIE staff to plan and lead the Dr. Dennis Simon Civil Rights Pilgrimage during the Spring Semester. Tasks include communicating with student participants, leading pre-trip meetings, working with local hosts on arrangements, and building community among students.",November - March,Fall Semester,Division of Student Affairs,Student Affairs Leadership Opportunities,Lisa Garvin,garvinl@smu.edu,Paid (+trip expenses covered)
